-2.95	0.997264
-2.94	0.997209
-2.93	0.997153
-2.92	0.997095
-2.91	0.997037
-2.9	0.996977
-2.89	0.996916
-2.88	0.996854
-2.87	0.99679
-2.86	0.996726
-2.85	0.99666
-2.84	0.996592
-2.83	0.996524
-2.82	0.996453
-2.81	0.996382
-2.8	0.996309
-2.79	0.996235
-2.78	0.996159
-2.77	0.996081
-2.76	0.996002
-2.75	0.995922
-2.74	0.995839
-2.73	0.995755
-2.72	0.99567
-2.71	0.995583
-2.7	0.995494
-2.69	0.995403
-2.68	0.99531
-2.67	0.995216
-2.66	0.995119
-2.65	0.995021
-2.64	0.99492
-2.63	0.994818
-2.62	0.994714
-2.61	0.994607
-2.6	0.994499
-2.59	0.994388
-2.58	0.994275
-2.57	0.994159
-2.56	0.994042
-2.55	0.993922
-2.54	0.993799
-2.53	0.993674
-2.52	0.993547
-2.51	0.993417
-2.5	0.993285
-2.49	0.993149
-2.48	0.993011
-2.47	0.992871
-2.46	0.992727
-2.45	0.992581
-2.44	0.992432
-2.43	0.992279
-2.42	0.992124
-2.41	0.991965
-2.4	0.991804
-2.39	0.991639
-2.38	0.991471
-2.37	0.991299
-2.36	0.991124
-2.35	0.990946
-2.34	0.990764
-2.33	0.990578
-2.32	0.990388
-2.31	0.990195
-2.3	0.989998
-2.29	0.989797
-2.28	0.989592
-2.27	0.989383
-2.26	0.98917
-2.25	0.988952
-2.24	0.98873
-2.23	0.988504
-2.22	0.988273
-2.21	0.988037
-2.2	0.987797
-2.19	0.987552
-2.18	0.987302
-2.17	0.987047
-2.16	0.986787
-2.15	0.986522
-2.14	0.986252
-2.13	0.985976
-2.12	0.985695
-2.11	0.985408
-2.1	0.985115
-2.09	0.984817
-2.08	0.984512
-2.07	0.984202
-2.06	0.983885
-2.05	0.983562
-2.04	0.983233
-2.03	0.982897
-2.02	0.982555
-2.01	0.982205
-2	0.981849
-1.99	0.981486
-1.98	0.981115
-1.97	0.980737
-1.96	0.980352
-1.95	0.979959
-1.94	0.979558
-1.93	0.979149
-1.92	0.978732
-1.91	0.978307
-1.9	0.977874
-1.89	0.977432
-1.88	0.976981
-1.87	0.976521
-1.86	0.976053
-1.85	0.975575
-1.84	0.975087
-1.83	0.97459
-1.82	0.974083
-1.81	0.973567
-1.8	0.97304
-1.79	0.972502
-1.78	0.971954
-1.77	0.971396
-1.76	0.970826
-1.75	0.970245
-1.74	0.969653
-1.73	0.969049
-1.72	0.968433
-1.71	0.967806
-1.7	0.967165
-1.69	0.966513
-1.68	0.965848
-1.67	0.965169
-1.66	0.964478
-1.65	0.963773
-1.64	0.963054
-1.63	0.962321
-1.62	0.961574
-1.61	0.960812
-1.6	0.960036
-1.59	0.959244
-1.58	0.958437
-1.57	0.957615
-1.56	0.956776
-1.55	0.955921
-1.54	0.95505
-1.53	0.954162
-1.52	0.953256
-1.51	0.952333
-1.5	0.951393
-1.49	0.950434
-1.48	0.949457
-1.47	0.948461
-1.46	0.947445
-1.45	0.946411
-1.44	0.945356
-1.43	0.944281
-1.42	0.943186
-1.41	0.942069
-1.4	0.940931
-1.39	0.939772
-1.38	0.93859
-1.37	0.937386
-1.36	0.936159
-1.35	0.934908
-1.34	0.933634
-1.33	0.932335
-1.32	0.931012
-1.31	0.929664
-1.3	0.92829
-1.29	0.926891
-1.28	0.925465
-1.27	0.924012
-1.26	0.922531
-1.25	0.921023
-1.24	0.919487
-1.23	0.917921
-1.22	0.916326
-1.21	0.914702
-1.2	0.913047
-1.19	0.911361
-1.18	0.909644
-1.17	0.907894
-1.16	0.906113
-1.15	0.904298
-1.14	0.902449
-1.13	0.900566
-1.12	0.898648
-1.11	0.896695
-1.1	0.894706
-1.09	0.89268
-1.08	0.890617
-1.07	0.888516
-1.06	0.886377
-1.05	0.884198
-1.04	0.88198
-1.03	0.879721
-1.02	0.87742
-1.01	0.875078
-1	0.872694
-0.99	0.870266
-0.98	0.867794
-0.97	0.865277
-0.96	0.862715
-0.95	0.860106
-0.94	0.857451
-0.93	0.854748
-0.92	0.851996
-0.91	0.849195
-0.9	0.846344
-0.89	0.843442
-0.88	0.840488
-0.87	0.837481
-0.86	0.834421
-0.85	0.831306
-0.84	0.828136
-0.83	0.82491
-0.82	0.821626
-0.81	0.818285
-0.8	0.814885
-0.79	0.811424
-0.78	0.807903
-0.77	0.804319
-0.76	0.800673
-0.75	0.796962
-0.74	0.793187
-0.73	0.789345
-0.72	0.785436
-0.71	0.781458
-0.7	0.777411
-0.69	0.773293
-0.68	0.769103
-0.67	0.76484
-0.66	0.760502
-0.65	0.756089
-0.64	0.751598
-0.63	0.747029
-0.62	0.74238
-0.61	0.73765
-0.6	0.732837
-0.59	0.727939
-0.58	0.722956
-0.57	0.717885
-0.56	0.712725
-0.55	0.707475
-0.54	0.702131
-0.53	0.696693
-0.52	0.691158
-0.51	0.685525
-0.5	0.679792
-0.49	0.673956
-0.48	0.668015
-0.47	0.661966
-0.46	0.655808
-0.45	0.649538
-0.44	0.643152
-0.43	0.636648
-0.42	0.630024
-0.41	0.623276
-0.4	0.6164
-0.39	0.609393
-0.38	0.602252
-0.37	0.594972
-0.36	0.587549
-0.35	0.579979
-0.34	0.572256
-0.33	0.564376
-0.32	0.556333
-0.31	0.548121
-0.3	0.539734
-0.29	0.531164
-0.28	0.522403
-0.27	0.513444
-0.26	0.504277
-0.25	0.494893
-0.24	0.485279
-0.23	0.475424
-0.22	0.465315
-0.21	0.454936
-0.2	0.444269
-0.19	0.433297
-0.18	0.421996
-0.17	0.410343
-0.16	0.398307
-0.15	0.385856
-0.14	0.372951
-0.13	0.359545
-0.12	0.345583
-0.11	0.330996
-0.1	0.315702
-0.09	0.299596
-0.08	0.282542
-0.07	0.264359
-0.06	0.244802
-0.05	0.223514
-0.04	0.199947
-0.03	0.173179
-0.02	0.141412
-0.01	0.0999983
0	-0
0.01	-nan
0.02	-nan
0.03	-nan
0.04	-nan
